,movieId,title,genres,userId,rating,imdbId
0,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1,4.0,114709
1,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,5,4.0,114709
2,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,7,4.5,114709
4,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,17,4.5,114709
6,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,19,4.0,114709
9,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,31,5.0,114709
12,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,40,5.0,114709
13,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,43,5.0,114709
15,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,45,4.0,114709
16,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,46,5.0,114709
19,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,57,5.0,114709
20,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,63,5.0,114709
21,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,64,4.0,114709
22,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,66,4.0,114709
24,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,71,5.0,114709
25,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,73,4.5,114709
27,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,78,4.0,114709
29,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,86,4.0,114709
32,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,91,4.0,114709
34,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,96,5.0,114709
35,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,98,4.5,114709
36,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,103,4.0,114709
37,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,107,4.0,114709
40,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,121,4.0,114709
41,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,124,4.0,114709
45,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,135,4.0,114709
46,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,137,4.0,114709
48,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,141,4.0,114709
50,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,145,5.0,114709
51,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,151,5.0,114709
54,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,156,4.0,114709
55,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,159,4.5,114709
56,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,160,4.0,114709
57,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,161,4.0,114709
58,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,166,5.0,114709
60,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,169,4.5,114709
61,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,171,5.0,114709
62,1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,177,5.0,114709
